area,2018,2019,2020,2021,diff
臺東縣長濱鄉,581,554,513,476,-105
臺南市西港區,2499,2455,2404,2393,-106
高雄市杉林區,927,855,855,821,-106
宜蘭縣大同鄉,1109,1066,1061,1001,-108
南投縣信義鄉,2374,2362,2302,2261,-113
嘉義縣義竹鄉,1216,1155,1115,1103,-113
南投縣中寮鄉,1161,1119,1103,1045,-116
臺東縣鹿野鄉,712,688,638,595,-117
臺中市烏日區,10897,10968,10778,10779,-118
臺南市柳營區,1805,1703,1711,1680,-125
屏東縣枋山鄉,495,463,399,367,-128
嘉義縣鹿草鄉,1087,1024,974,958,-129
新北市石碇區,645,584,554,511,-134
新竹縣寶山鄉,1313,1205,1209,1179,-134
南投縣鹿谷鄉,1364,1304,1292,1230,-134
苗栗縣泰安鄉,741,694,651,606,-135
屏東縣滿州鄉,642,599,545,506,-136
金門縣烈嶼鄉,961,877,867,825,-136
臺中市和平區,1242,1203,1167,1102,-140
高雄市湖內區,3187,3135,3068,3046,-141
南投縣集集鎮,960,887,855,819,-141
嘉義縣溪口鄉,1136,1068,1044,993,-143
臺南市玉井區,1269,1231,1184,1125,-144
苗栗縣西湖鄉,521,453,420,377,-144
新竹縣北埔鄉,914,846,780,769,-145
花蓮縣富里鄉,966,909,874,821,-145
高雄市鹽埕區,1952,1919,1881,1805,-147
嘉義縣番路鄉,1016,948,913,869,-147
宜蘭縣三星鄉,1762,1667,1627,1613,-149
高雄市前金區,2236,2171,2155,2086,-150
嘉義縣太保市,5052,4931,4879,4902,-150
臺南市大內區,773,688,658,621,-152
雲林縣麥寮鄉,7086,6911,6991,6934,-152
新北市深坑區,2278,2228,2181,2125,-153
新北市雙溪區,679,616,581,526,-153
宜蘭縣壯圍鄉,2174,2078,2039,2019,-155
高雄市鳥松區,4028,4003,4001,3871,-157
臺南市安南區,27459,27456,27190,27301,-158
臺南市楠西區,816,743,701,656,-160
新竹縣橫山鄉,1256,1216,1158,1094,-162
臺南市仁德區,8961,8987,8987,8797,-164
基隆市暖暖區,4167,4118,4052,4002,-165
屏東縣竹田鄉,1353,1343,1283,1185,-168
彰化縣竹塘鄉,1810,1705,1652,1641,-169
雲林縣褒忠鄉,1261,1193,1138,1092,-169
金門縣金湖鎮,3121,3065,3038,2951,-170
屏東縣九如鄉,2321,2229,2212,2149,-172
宜蘭縣冬山鄉,6011,5880,5938,5838,-173
彰化縣二水鄉,1409,1358,1252,1236,-173
臺南市北門區,913,847,789,738,-175
南投縣魚池鄉,1443,1328,1322,1268,-175
臺南市官田區,2020,1981,1986,1844,-176
臺南市安定區,3478,3404,3338,3302,-176
屏東縣琉球鄉,1318,1226,1160,1138,-180
花蓮縣新城鄉,2449,2401,2336,2269,-180
臺中市梧棲區,9075,8964,8898,8890,-185
臺東縣成功鎮,1353,1296,1211,1167,-186
臺南市將軍區,1442,1423,1338,1255,-187
宜蘭縣頭城鎮,3160,3058,2997,2973,-187
桃園市觀音區,9349,9332,9208,9159,-190
臺南市佳里區,6993,6907,6889,6803,-190
彰化縣線西鄉,2232,2138,2073,2042,-190
屏東縣長治鄉,2662,2511,2514,2472,-190
高雄市內門區,1109,1030,963,918,-191
花蓮縣壽豐鄉,1672,1636,1593,1479,-193
南投縣水里鄉,1613,1538,1482,1417,-196
高雄市六龜區,1145,1091,1019,944,-201
臺中市石岡區,1604,1546,1454,1402,-202
臺南市下營區,2355,2276,2236,2151,-204
澎湖縣馬公市,7110,6970,6897,6903,-207
南投縣草屯鎮,11182,10927,11099,10973,-209
新北市貢寮區,846,754,690,636,-210
屏東縣林邊鄉,1694,1627,1567,1483,-211
高雄市永安區,1521,1463,1367,1308,-213
臺中市大安區,2079,2103,2006,1860,-219
彰化縣芬園鄉,2473,2408,2323,2254,-219
雲林縣東勢鄉,1239,1156,1084,1020,-219
桃園市龍潭區,17176,17181,17094,16955,-221
臺南市鹽水區,2537,2457,2375,2310,-227
臺東縣太麻里鄉,1186,1126,1032,957,-229
新北市五股區,10833,10682,10734,10599,-234
高雄市阿蓮區,3299,3184,3153,3064,-235
金門縣金沙鎮,1786,1688,1616,1549,-237
宜蘭縣礁溪鄉,3675,3570,3544,3436,-239
臺東縣卑南鄉,1802,1722,1632,1563,-239
苗栗縣卓蘭鎮,1612,1479,1436,1368,-244
嘉義縣梅山鄉,1714,1625,1548,1468,-246
花蓮縣玉里鎮,2579,2496,2404,2330,-249
南投縣國姓鄉,1570,1468,1383,1318,-252
苗栗縣頭屋鄉,1081,985,917,828,-253
新北市三芝區,2209,2078,2003,1955,-254
雲林縣林內鄉,1963,1842,1835,1709,-254
臺南市後壁區,1920,1803,1689,1657,-263
屏東縣萬丹鄉,5627,5475,5427,5362,-265
宜蘭縣員山鄉,3143,3066,3012,2877,-266
臺南市學甲區,2496,2393,2297,2229,-267
屏東縣枋寮鄉,2270,2183,2129,2003,-267
新竹縣新豐鄉,9154,9094,8971,8885,-269
屏東縣里港鄉,3235,3053,2996,2965,-270
苗栗縣南庄鄉,1058,951,876,787,-271
苗栗縣造橋鄉,1347,1248,1189,1076,-271
雲林縣大埤鄉,1948,1858,1740,1675,-273
桃園市新屋區,5986,5927,5817,5712,-274
雲林縣崙背鄉,2667,2536,2457,2392,-275
雲林縣莿桐鄉,3218,3130,3033,2941,-277
高雄市彌陀區,2213,2103,2015,1935,-278
新北市汐止區,20714,20447,20504,20431,-283
嘉義縣大林鎮,3067,2971,2866,2783,-284
基隆市仁愛區,6144,5994,5909,5859,-285
苗栗縣大湖鄉,1469,1355,1261,1183,-286
高雄市燕巢區,2936,2807,2745,2649,-287
屏東縣高樹鄉,2085,1927,1860,1797,-288
臺南市六甲區,2451,2387,2276,2162,-289
嘉義縣六腳鄉,1622,1489,1419,1333,-289
臺南市關廟區,3452,3345,3240,3161,-291
南投縣南投市,12167,11892,11769,11870,-297
基隆市七堵區,5968,5851,5779,5671,-297
雲林縣元長鄉,2263,2160,2052,1965,-298
屏東縣潮州鎮,5765,5615,5530,5465,-300
高雄市大社區,3521,3440,3291,3219,-302
新北市石門區,1234,1121,1011,925,-309
臺中市外埔區,4004,3983,3822,3694,-310
新竹縣芎林鄉,2100,1971,1865,1788,-312
雲林縣四湖鄉,1768,1683,1568,1455,-313
雲林縣臺西鄉,2173,2034,1959,1858,-315
苗栗縣三義鄉,1947,1833,1737,1631,-316
新北市萬里區,2175,2053,1918,1857,-318
嘉義縣中埔鄉,4114,3974,3897,3795,-319
臺南市七股區,2317,2174,2069,1997,-320
高雄市旗山區,3623,3583,3496,3303,-320
高雄市苓雅區,18644,18472,18449,18320,-324
新竹縣湖口鄉,11263,11069,10920,10930,-333
彰化縣芳苑鄉,3277,3156,3055,2944,-333
彰化縣埤頭鄉,3882,3705,3666,3539,-343
臺南市東山區,1794,1665,1543,1450,-344
高雄市梓官區,3719,3629,3522,3374,-345
屏東縣鹽埔鄉,2600,2450,2339,2255,-345
新竹縣新埔鎮,3286,3171,2994,2939,-347
彰化縣大城鄉,1604,1483,1350,1257,-347
苗栗縣銅鑼鄉,1990,1863,1756,1642,-348
雲林縣口湖鄉,2503,2334,2220,2155,-348
雲林縣古坑鄉,3052,2887,2866,2703,-349
彰化縣社頭鄉,5243,5118,4986,4892,-351
屏東縣恆春鎮,4053,3966,3845,3701,-352
新竹縣關西鎮,2994,2797,2723,2640,-354
彰化縣埔鹽鄉,3470,3350,3212,3116,-354
基隆市中正區,4716,4588,4457,4359,-357
苗栗縣竹南鎮,14421,14317,14173,14059,-362
臺南市歸仁區,8994,8845,8761,8625,-369
桃園市龜山區,22908,23164,22992,22535,-373
雲林縣土庫鎮,3477,3331,3275,3103,-374
臺南市麻豆區,5135,4948,4854,4758,-377
雲林縣斗南鎮,5106,4897,4864,4728,-378
基隆市中山區,4215,4091,3977,3834,-381
彰化縣田尾鄉,3225,3147,2979,2843,-382
嘉義縣布袋鎮,2237,2054,1963,1854,-383
臺南市白河區,2519,2370,2291,2135,-384
臺南市新化區,4972,4844,4734,4581,-391
新北市瑞芳區,3805,3661,3567,3409,-396
宜蘭縣蘇澳鎮,4175,4019,3894,3773,-402
雲林縣虎尾鎮,10079,9948,9810,9674,-405
嘉義縣竹崎鄉,3333,3200,3092,2922,-411
南投縣名間鄉,3731,3576,3458,3319,-412
彰化縣溪州鄉,3365,3204,3035,2952,-413
彰化縣秀水鄉,5563,5385,5244,5144,-419
苗栗縣頭份市,15902,15517,15458,15482,-420
高雄市大寮區,11768,11636,11498,11344,-424
嘉義縣水上鄉,4097,3903,3803,3672,-425
雲林縣水林鄉,2185,2030,1861,1755,-430
臺中市沙鹿區,16156,16224,16039,15724,-432
彰化縣埔心鄉,3961,3810,3677,3529,-432
嘉義縣朴子市,5442,5251,5120,5007,-435
金門縣金城鎮,4604,4382,4271,4169,-435
雲林縣斗六市,14885,14627,14492,14447,-438
嘉義縣東石鄉,2096,1904,1777,1651,-445
新北市金山區,2266,2070,1924,1818,-448
臺中市后里區,7753,7659,7494,7300,-453
雲林縣二崙鄉,2760,2577,2435,2300,-460
彰化縣田中鎮,4943,4762,4678,4478,-465
彰化縣溪湖鎮,8498,8374,8254,8030,-468
嘉義縣民雄鄉,7694,7448,7436,7225,-469
高雄市美濃區,3295,3162,2990,2824,-471
高雄市路竹區,7023,6895,6737,6549,-474
雲林縣北港鎮,4773,4611,4466,4299,-474
花蓮縣吉安鄉,8671,8364,8325,8192,-479
屏東縣屏東市,23299,23299,23137,22818,-481
臺中市新社區,2922,2731,2587,2439,-483
臺中市清水區,12097,11991,11791,11612,-485
彰化縣永靖鄉,4585,4434,4302,4095,-490
彰化縣花壇鄉,5477,5308,5148,4981,-496
宜蘭縣宜蘭市,13382,13168,12951,12883,-499
臺中市霧峰區,8251,8161,7976,7741,-510
新北市鶯歌區,11738,11351,11356,11226,-512
高雄市旗津區,2830,2637,2468,2314,-516
高雄市岡山區,12718,12615,12471,12202,-516
苗栗縣苗栗市,11239,10865,10721,10713,-526
南投縣埔里鎮,9036,8803,8604,8508,-528
雲林縣西螺鎮,6376,6181,6065,5848,-528
苗栗縣通霄鎮,3452,3195,3054,2911,-541
桃園市平鎮區,34222,34310,34233,33680,-542
臺東縣臺東市,14097,13812,13710,13539,-558
花蓮縣花蓮市,15490,15458,15184,14931,-559
臺中市西區,16827,16773,16554,16267,-560
嘉義縣新港鄉,3409,3196,3005,2848,-561
臺中市神岡區,8893,8722,8571,8329,-564
苗栗縣苑裡鎮,5056,4689,4639,4492,-564
屏東縣新園鄉,3230,3002,2866,2666,-564
高雄市大樹區,4472,4222,4069,3905,-567
苗栗縣公館鄉,4070,3857,3637,3503,-567
桃園市大溪區,13228,13106,12999,12658,-570
南投縣竹山鎮,5933,5692,5552,5352,-581
彰化縣鹿港鎮,13207,13124,12923,12619,-588
新北市三峽區,17183,17084,16896,16592,-591
臺中市東勢區,5581,5462,5218,4979,-602
基隆市安樂區,9434,9257,9146,8825,-609
苗栗縣後龍鎮,4300,4103,3836,3668,-632
彰化縣二林鎮,6018,5856,5573,5365,-653
新竹縣竹東鎮,14066,13726,13743,13389,-677
臺中市東區,9456,9363,9069,8775,-681
屏東縣內埔鄉,5072,4805,4583,4391,-681
臺中市潭子區,15338,15259,15049,14650,-688
臺北市中正區,25858,25762,25607,25150,-708
新竹市北區,22932,23032,22703,22221,-711
臺南市安平區,9217,8989,8802,8504,-713
新北市土城區,29197,28656,28543,28480,-717
臺中市大雅區,14956,14843,14457,14223,-733
高雄市林園區,8497,8226,7968,7760,-737
彰化縣員林市,18657,18554,18454,17909,-748
桃園市桃園區,69452,69780,69404,68700,-752
彰化縣福興鄉,5941,5637,5402,5179,-762
彰化縣和美鎮,12521,12231,11974,11740,-781
宜蘭縣羅東鎮,11999,11922,11557,11211,-788
臺中市大肚區,7904,7667,7422,7115,-789
屏東縣東港鎮,6595,6305,5953,5802,-793
臺南市新營區,10238,10013,9718,9427,-811
臺中市龍井區,11648,11364,11184,10833,-815
臺中市西屯區,36410,36267,36064,35546,-864
高雄市小港區,20013,19797,19511,19096,-917
新竹市香山區,10733,10538,10215,9783,-950
新北市泰山區,11970,11606,11257,10865,-1105
臺中市大甲區,11958,11710,11129,10841,-1117
臺中市北區,18544,18262,17936,17414,-1130
臺南市南區,12903,12668,12253,11760,-1143
臺南市東區,26787,26358,26037,25614,-1173
新北市新莊區,59062,58312,58242,57882,-1180
新北市板橋區,73850,73395,73339,72630,-1220
新北市蘆洲區,27111,26570,26251,25852,-1259
新北市永和區,26979,26496,26065,25718,-1261
臺中市豐原區,24629,24301,23946,23350,-1279
臺中市南區,17808,17502,17149,16526,-1282
臺北市大安區,46886,46701,46345,45596,-1290
彰化縣彰化市,33798,33286,33005,32489,-1309
嘉義市東區,16395,15905,15531,15055,-1340
嘉義市西區,21200,20842,20343,19859,-1341
桃園市蘆竹區,28268,28072,27747,26873,-1395
臺南市永康區,32660,32263,32010,31241,-1419
新北市新店區,29786,29011,28870,28267,-1519
臺北市大同區,17295,16853,16266,15734,-1561
新北市樹林區,25702,25180,24750,24125,-1577
高雄市鳳山區,47273,46857,46506,45684,-1589
臺北市南港區,16425,16015,15387,14734,-1691
高雄市前鎮區,21353,20721,20328,19661,-1692
臺南市北區,17263,16912,16322,15489,-1774
臺中市大里區,32848,32345,31741,31062,-1786
臺北市松山區,30734,30325,29733,28897,-1837
高雄市左營區,28305,27543,27086,26168,-2137
臺北市內湖區,42054,41714,40964,39760,-2294
臺北市中山區,28820,28294,27501,26442,-2378
高雄市三民區,41747,40915,40160,39353,-2394
臺北市北投區,35261,34649,33750,32714,-2547
新北市三重區,45268,44174,43503,42627,-2641
新北市中和區,45383,44303,43748,42415,-2968
臺北市信義區,27592,26861,25699,24231,-3361
臺北市文山區,38473,37740,36444,35085,-3388
臺北市萬華區,21528,20652,19617,18132,-3396
臺北市士林區,37324,36498,35235,33629,-3695
sum,3082419,3038947,2999434,2944743,-137676
